Source,Target,Type,Id,Label,Weight
6,11,Directed,2,,1
5,6,Directed,3,,1
19,11,Directed,4,,1
23,6,Directed,5,,1
4,5,Directed,6,,1
2,11,Directed,7,,1
21,19,Directed,8,,1
20,23,Directed,9,,1
9,6,Directed,10,,1
8,21,Directed,11,,1
3,19,Directed,12,,1
14,2,Directed,13,,1
12,4,Directed,14,,1
1,11,Directed,15,,1
24,5,Directed,16,,1
14,20,Directed,19,,1
18,19,Directed,20,,1
4,6,Directed,21,,1
17,3,Directed,22,,1
7,2,Directed,23,,1
16,5,Directed,24,,1
23,1,Directed,25,,1
13,12,Directed,26,,1
24,11,Directed,27,,1
22,21,Directed,28,,1
15,9,Directed,30,,1
18,20,Directed,34,,1
1,12,Directed,35,,1
5,2,Directed,36,,1
13,23,Directed,37,,1
21,11,Directed,38,,1
22,24,Directed,39,,1
7,16,Directed,40,,1
9,8,Directed,41,,1
10,15,Directed,42,,1
14,18,Directed,44,,1
17,4,Directed,45,,1
23,12,Directed,46,,1
13,1,Directed,47,,1
3,6,Directed,48,,1
5,7,Directed,49,,1
22,11,Directed,51,,1
